name,group,'m1', 'm2', 'm3', 'm4', 'm5', 'm6', 'm7', 'fx', 'fy', 'fz', 'tx', 'alpha'
index,group,0.19678974311485103,0.08562208517392633,0.23132361973987042,0.21564817769119676,0.22669758840436524,0.4152104524212502,0.7261050944530557,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.2761029506726192,0.12353157510807461,0.29416040186679504,0.27422858556116503,0.6289349009481625,0.6374975733778395,0.9147932795408128,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.21778812143386805,0.09490248762694864,0.14403677147369823,0.17736289589503723,0.13753449396639578,0.8058106550015827,0.8200203917290241,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.28568541782669427,0.12819884231266224,0.3383490369906613,0.30331188779771223,0.6188197667308251,0.5312848284950794,0.9533572529313777,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.2927091673479607,0.13198189094476195,0.3686102832285199,0.3170771574469321,0.8762552947442946,0.49444640800313194,0.9166917593519246,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.20769148076603394,0.09175674762450747,0.3551891551897066,0.2818871010404221,0.5597704333293256,0.08566925065146212,0.6884006558788924,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.13748360155602962,0.05726677739453133,0.013597331228302858,0.06238136528011466,0.4831440667083781,0.9058799201723042,0.44208573943563156,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.20695820384494118,0.0902812650681491,0.17254583412656224,0.1836882829267803,0.3556034195811374,0.6829186621048586,0.7288199039925818,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.2801434217347979,0.1259459294303226,0.3304319798846136,0.29018838468991986,0.8843667667182851,0.5652305783752278,0.8681346332980784,0.7164965365903728,0.7164965365903728,0.7164965365903728,0,0.1
index,group,0.2716160697394526,0.11398196415114767,0.38736695874302696,0.33727017038359575,0.5,0.5,1,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.2555142100507355,0.10607361235900367,0.31249409239715065,0.2891247762707779,0.4722360553966774,0.6749070994113047,0.9461357663487325,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.166336243997403,0.0635619538762004,0.24828574122024857,0.22546588634300985,0.07911672545069481,0.4103860043739489,0.7197411240224207,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.25450640097407706,0.1058673219754509,0.3493450777393252,0.3078445392587408,0.539036332703764,0.5520268071446961,0.927560531005937,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.26195560068544066,0.10943137632385547,0.3661694568398138,0.3202979859538382,0.5433001417197016,0.5311532007717745,0.9539038760304804,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.2286908250784743,0.09324098458067928,0.3361304017412554,0.29833141169178207,0.1796879602622466,0.42576105600260994,0.9223517780670292,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.2714736659249512,0.11475597763715216,0.46165091214757237,0.3705376573612081,0.8534926580516757,0.28936382492735024,0.915754974535108,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.21934874867976645,0.08926203894572418,0.2876355137439921,0.2567410852042601,0.6142248044081395,0.6019446602351578,0.7805632594566633,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.2568500293014239,0.10756142279605717,0.49605782665808235,0.39276331216186083,0.481676715551172,0.052652349579819735,0.9555958441761743,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.25054096870807535,0.10419396461212847,0.33149848359125444,0.2916821265768755,0.72554970888451,0.6176777424630234,0.8669738310943552,1.4329930731807456,1.4329930731807456,1.4329930731807456,0,0.2
index,group,0.2527810511402965,0.09765231469147138,0.42490448270217906,0.35994154894685454,0.5,0.5,1,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.2439796763390286,0.09347820293892034,0.3977121022697397,0.33990183124461276,0.5453653276936097,0.5561788320451992,0.956255174475778,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.24847657658857664,0.09563859917155255,0.4268355696357426,0.3594445719831375,0.49166884084810863,0.4713232843559766,0.9866571343873713,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
index,group,0.06708292901547078,0.009507960411549568,0.11588256078855491,0.108355976667532,0.5297958159289197,0.6588375270402508,0.3141695707520237,2.1494896097711185,2.1494896097711185,2.1494896097711185,0,0.30000000000000004
